Gewicht [g];Auslenkung1 [cm];Auslenkung2 [cm];Oberkante am Ende:;Unterkante Gummiband am Ende (ohne Gewicht):
0;11,2;15,8;4,4cm;11,6
5;13;16,5;;16,4
10;13,3;16,7;;
15;13,5;16,9;;
20;13,6;17;;
25;13,8;17;;
30;13,8;17,3;;
35;13,9;17,4;;
40;14;17,7;;
45;14,1;17,9;;
50;14;18;;
55;14,1;18,3;;
60;14,2;18,5;;
65;14,3;18,8;;
70;14,4;19;;
75;14,5;19,3;;
80;14,5;19,7;;
85;14,6;20,3;;
90;14,6;20,5;;
95;14,7;21;;
100;14,8;21,5;;
110;15,1;22,3;;
120;15,3;23,4;;
130;15,4;24,5;;
140;15,6;25,9;;
150;15,8;26,6;;
160;16;27,9;;
170;16,4;28,7;;
180;16,6;30,2;;
190;16,9;31,1;;
200;17,3;32,2;;
210;17,5;33,4;;
220;17,8;34;;
230;18,2;34,9;;
240;18,5;35,8;;
250;18,9;36,5;;
260;19,3;37,1;;
270;19,8;37,7;;
280;20;38,1;;
290;20,3;39;;
300;20,9;39,6;;
310;21,2;40,1;;
320;21,5;40,7;;
330;22;41;;
340;22,3;41,8;;
350;22,7;42;;
360;23;;;
370;23,3;;;
380;23,6;;;
390;23,9;;;
400;24,5;44,7;;
410;24,7;;;
420;25;;;
430;25,2;;;
440;25,5;;;
450;25,7;;;
460;26,1;;;
470;26,2;;;
480;26,5;;;
490;26,8;;;
