;Masse_A;
t;x;y
0,00E+00;-1,69E+02;2,39E+02
1,00E+00;-1,69E+02;2,39E+02
2,00E+00;-1,67E+02;2,32E+02
3,00E+00;-1,67E+02;2,27E+02
4,00E+00;-1,69E+02;2,25E+02
5,00E+00;-1,69E+02;2,25E+02
6,00E+00;-1,67E+02;2,25E+02
7,00E+00;-1,67E+02;2,27E+02
8,00E+00;-1,65E+02;2,27E+02
9,00E+00;-1,69E+02;2,21E+02
1,00E+01;-1,69E+02;2,25E+02
1,10E+01;-1,69E+02;2,23E+02
1,20E+01;-1,67E+02;2,23E+02
1,30E+01;-1,71E+02;2,25E+02
1,40E+01;-1,71E+02;2,25E+02
1,50E+01;-1,74E+02;2,27E+02
1,60E+01;-1,74E+02;2,30E+02
1,70E+01;-1,76E+02;2,27E+02
1,80E+01;-1,76E+02;2,27E+02
1,90E+01;-1,78E+02;2,27E+02
2,00E+01;-1,83E+02;2,23E+02
2,10E+01;-1,85E+02;2,21E+02
2,20E+01;-1,83E+02;2,21E+02
2,30E+01;-1,81E+02;2,23E+02
2,40E+01;-1,83E+02;2,21E+02
2,50E+01;-1,85E+02;2,18E+02
2,60E+01;-1,85E+02;2,18E+02
2,70E+01;-1,85E+02;2,21E+02
2,80E+01;-1,85E+02;2,23E+02
2,90E+01;-1,90E+02;2,16E+02
3,00E+01;-1,97E+02;2,09E+02
3,10E+01;-1,94E+02;2,11E+02
3,20E+01;-1,90E+02;2,09E+02
3,30E+01;-1,87E+02;2,09E+02
3,40E+01;-1,87E+02;2,09E+02
3,50E+01;-1,90E+02;2,09E+02
3,60E+01;-1,92E+02;2,09E+02
3,70E+01;-1,90E+02;2,07E+02
3,80E+01;-1,92E+02;2,09E+02
3,90E+01;-1,94E+02;2,11E+02
4,00E+01;-1,97E+02;2,09E+02
4,10E+01;-1,97E+02;2,11E+02
4,20E+01;-2,01E+02;2,09E+02
4,30E+01;-2,01E+02;2,07E+02
4,40E+01;-1,94E+02;2,07E+02
4,50E+01;-1,97E+02;2,00E+02
4,60E+01;-1,90E+02;2,02E+02
4,70E+01;-1,97E+02;2,07E+02
4,80E+01;-2,01E+02;1,95E+02
4,90E+01;-2,03E+02;1,98E+02
5,00E+01;-2,03E+02;1,91E+02
5,10E+01;-2,03E+02;1,95E+02
5,20E+01;-2,01E+02;1,91E+02
5,30E+01;-2,06E+02;1,91E+02
5,40E+01;-1,99E+02;1,86E+02
5,50E+01;-1,99E+02;1,91E+02
5,60E+01;-1,94E+02;1,89E+02
5,70E+01;-1,85E+02;1,89E+02
5,80E+01;-1,83E+02;1,91E+02
5,90E+01;-1,81E+02;1,84E+02
6,00E+01;-1,81E+02;1,89E+02
6,10E+01;-1,83E+02;1,89E+02
6,20E+01;-1,81E+02;1,84E+02
6,30E+01;-1,76E+02;1,79E+02
6,40E+01;-1,83E+02;1,77E+02
6,50E+01;-1,83E+02;1,75E+02
6,60E+01;-1,74E+02;1,73E+02
6,70E+01;-1,81E+02;1,77E+02
6,80E+01;-1,78E+02;1,73E+02
6,90E+01;-1,76E+02;1,70E+02
7,00E+01;-1,67E+02;1,77E+02
7,10E+01;-1,69E+02;1,70E+02
7,20E+01;-1,69E+02;1,70E+02
7,30E+01;-1,67E+02;1,70E+02
7,40E+01;-1,65E+02;1,73E+02
7,50E+01;-1,62E+02;1,73E+02
7,60E+01;-1,67E+02;1,73E+02
7,70E+01;-1,65E+02;1,70E+02
7,80E+01;-1,65E+02;1,66E+02
7,90E+01;-1,67E+02;1,63E+02
8,00E+01;-1,67E+02;1,59E+02
8,10E+01;-1,62E+02;1,59E+02
8,20E+01;-1,60E+02;1,47E+02
8,30E+01;-1,60E+02;1,54E+02
8,40E+01;-1,60E+02;1,59E+02
8,50E+01;-1,62E+02;1,59E+02
8,60E+01;-1,67E+02;1,59E+02
8,70E+01;-1,67E+02;1,57E+02
8,80E+01;-1,60E+02;1,59E+02
8,90E+01;-1,60E+02;1,54E+02
9,00E+01;-1,62E+02;1,57E+02
9,10E+01;-1,62E+02;1,52E+02
9,20E+01;-1,58E+02;1,57E+02
9,30E+01;-1,60E+02;1,59E+02
9,40E+01;-1,58E+02;1,63E+02
9,50E+01;-1,58E+02;1,63E+02
9,60E+01;-1,62E+02;1,63E+02
9,70E+01;-1,62E+02;1,59E+02
9,80E+01;-1,65E+02;1,61E+02
9,90E+01;-1,67E+02;1,59E+02
